89,PENNSYLVANIAN,299,318,( 299 Ma - 318 Ma ),PENNSYLVANIAN ( 299 Ma - 318 Ma )
90,GZELIAN,299,304,( 299 Ma - 304 Ma ),GZELIAN ( 299 Ma - 304 Ma )
91,KASIMOVIAN,304,306,( 304 Ma - 306 Ma ),KASIMOVIAN ( 304 Ma - 306 Ma )
92,MOSCOVIAN,306,312,( 306 Ma - 312 Ma ),MOSCOVIAN ( 306 Ma - 312 Ma )
93,BASHKIRIAN,312,318,( 312 Ma - 318 Ma ),BASHKIRIAN ( 312 Ma - 318 Ma )
94,MISSISSIPPIAN,318,359,( 318 Ma - 359 Ma ),MISSISSIPPIAN ( 318 Ma - 359 Ma )
95,SERPUKHOVIAN,318,326,( 318 Ma - 326 Ma ),SERPUKHOVIAN ( 318 Ma - 326 Ma )
96,VISEAN,326,345,( 326 Ma - 345 Ma ),VISEAN ( 326 Ma - 345 Ma )
97,TOURNAISIAN,345,359,( 345 Ma - 359 Ma ),TOURNAISIAN ( 345 Ma - 359 Ma )
98,DEVONIAN,359,416,( 359 Ma - 416 Ma ),DEVONIAN ( 359 Ma - 416 Ma )
99,LATE DEVONIAN,359,385,( 359 Ma - 385 Ma ),LATE DEVONIAN ( 359 Ma - 385 Ma )
100,FAMENNIAN,359,374,( 359 Ma - 374 Ma ),FAMENNIAN ( 359 Ma - 374 Ma )
101,FRASNIAN,374,385,( 374 Ma - 385 Ma ),FRASNIAN ( 374 Ma - 385 Ma )
102,MIDDLE DEVONIAN,385,398,( 385 Ma - 398 Ma ),MIDDLE DEVONIAN ( 385 Ma - 398 Ma )
103,GIVETIAN,385,392,( 385 Ma - 392 Ma ),GIVETIAN ( 385 Ma - 392 Ma )
104,EIFELIAN,392,398,( 392 Ma - 398 Ma ),EIFELIAN ( 392 Ma - 398 Ma )
105,EARLY DEVONIAN,398,416,( 398 Ma - 416 Ma ),EARLY DEVONIAN ( 398 Ma - 416 Ma )
106,EMSIAN,398,407,( 398 Ma - 407 Ma ),EMSIAN ( 398 Ma - 407 Ma )
107,PRAGHIAN,407,411,( 407 Ma - 411 Ma ),PRAGHIAN ( 407 Ma - 411 Ma )
108,LOCKHOVIAN,411,416,( 411 Ma - 416 Ma ),LOCKHOVIAN ( 411 Ma - 416 Ma )
109,SILURIAN,416,444,( 416 Ma - 444 Ma ),SILURIAN ( 416 Ma - 444 Ma )
110,LATE SILURIAN,416,423,( 416 Ma - 423 Ma ),LATE SILURIAN ( 416 Ma - 423 Ma )
111,PRIDOLIAN,416,419,( 416 Ma - 419 Ma ),PRIDOLIAN ( 416 Ma - 419 Ma )
112,LUDFORDIAN,419,421,( 419 Ma - 421 Ma ),LUDFORDIAN ( 419 Ma - 421 Ma )
113,GORSTIAN,421,423,( 421 Ma - 423 Ma ),GORSTIAN ( 421 Ma - 423 Ma )
114,MIDDLE SILURIAN,423,428,( 423 Ma - 428 Ma ),MIDDLE SILURIAN ( 423 Ma - 428 Ma )
115,HOMERIAN,423,426,( 423 Ma - 426 Ma ),HOMERIAN ( 423 Ma - 426 Ma )
116,SHEINWOODIAN,426,428,( 426 Ma - 428 Ma ),SHEINWOODIAN ( 426 Ma - 428 Ma )
117,EARLY SILURIAN,428,444,( 428 Ma - 444 Ma ),EARLY SILURIAN ( 428 Ma - 444 Ma )
118,TELYCHIAN,428,436,( 428 Ma - 436 Ma ),TELYCHIAN ( 428 Ma - 436 Ma )
119,AERONIAN,436,439,( 436 Ma - 439 Ma ),AERONIAN ( 436 Ma - 439 Ma )
120,RHUDDANIAN,439,444,( 439 Ma - 444 Ma ),RHUDDANIAN ( 439 Ma - 444 Ma )
121,ORDOVICIAN,444,488,( 444 Ma - 488 Ma ),ORDOVICIAN ( 444 Ma - 488 Ma )
122,LATE ORDOVICIAN,444,461,( 444 Ma - 461 Ma ),LATE ORDOVICIAN ( 444 Ma - 461 Ma )
123,HIRNANTIAN,444,446,( 444 Ma - 446 Ma ),HIRNANTIAN ( 444 Ma - 446 Ma )
124,KATIAN,446,455,( 446 Ma - 455 Ma ),KATIAN ( 446 Ma - 455 Ma )
125,SANDBIAN,455,461,( 455 Ma - 461 Ma ),SANDBIAN ( 455 Ma - 461 Ma )
126,MIDDLE ORDOVICIAN,461,472,( 461 Ma - 472 Ma ),MIDDLE ORDOVICIAN ( 461 Ma - 472 Ma )
127,DARRIWILIAN,461,468,( 461 Ma - 468 Ma ),DARRIWILIAN ( 461 Ma - 468 Ma )
128,DAPINGIAN,468,472,( 468 Ma - 472 Ma ),DAPINGIAN ( 468 Ma - 472 Ma )
129,EARLY ORDOVICIAN,472,488,( 472 Ma - 488 Ma ),EARLY ORDOVICIAN ( 472 Ma - 488 Ma )
130,FLOIAN,472,479,( 472 Ma - 479 Ma ),FLOIAN ( 472 Ma - 479 Ma )
131,TREMADOCIAN,479,488,( 479 Ma - 488 Ma ),TREMADOCIAN ( 479 Ma - 488 Ma )
132,CAMBRIAN,488,542,( 488 Ma - 542 Ma ),CAMBRIAN ( 488 Ma - 542 Ma )
133,FURONGIAN,488,501,( 488 Ma - 501 Ma ),FURONGIAN ( 488 Ma - 501 Ma )
134,STAGE 10,488,492,( 488 Ma - 492 Ma ),STAGE 10 ( 488 Ma - 492 Ma )
135,STAGE 9,492,496,( 492 Ma - 496 Ma ),STAGE 9 ( 492 Ma - 496 Ma )
136,PAIBIAN,496,501,( 496 Ma - 501 Ma ),PAIBIAN ( 496 Ma - 501 Ma )
137,SERIES 3,501,510,( 501 Ma - 510 Ma ),SERIES 3 ( 501 Ma - 510 Ma )
138,GUZHANGIAN,501,503,( 501 Ma - 503 Ma ),GUZHANGIAN ( 501 Ma - 503 Ma )
139,DRUMIAN,503,507,( 503 Ma - 507 Ma ),DRUMIAN ( 503 Ma - 507 Ma )
140,STAGE 5,507,510,( 507 Ma - 510 Ma ),STAGE 5 ( 507 Ma - 510 Ma )
141,SERIES 2,510,521,( 510 Ma - 521 Ma ),SERIES 2 ( 510 Ma - 521 Ma )
142,STAGE 4,510,517,( 510 Ma - 517 Ma ),STAGE 4 ( 510 Ma - 517 Ma )
143,STAGE 3,517,521,( 517 Ma - 521 Ma ),STAGE 3 ( 517 Ma - 521 Ma )
144,TERREVEUVIAN,521,542,( 521 Ma - 542 Ma ),TERREVEUVIAN ( 521 Ma - 542 Ma )
145,STAGE 2,521,535,( 521 Ma - 535 Ma ),STAGE 2 ( 521 Ma - 535 Ma )
146,FORTUNIAN,535,542,( 535 Ma - 542 Ma ),FORTUNIAN ( 535 Ma - 542 Ma )
147,PRECAMBRIAN,542,3850,( 542 Ma - 3850 Ma ),PRECAMBRIAN ( 542 Ma - 3850 Ma )
148,PROTEROZOIC,542,1600,( 542 Ma - 1600 Ma ),PROTEROZOIC ( 542 Ma - 1600 Ma )
149,NEOPROTEROZOIC,542,1000,( 542 Ma - 1000 Ma ),NEOPROTEROZOIC ( 542 Ma - 1000 Ma )
150,EDIACARAN,542,630,( 542 Ma - 630 Ma ),EDIACARAN ( 542 Ma - 630 Ma )
151,CRYOGENIAN,630,850,( 630 Ma - 850 Ma ),CRYOGENIAN ( 630 Ma - 850 Ma )
152,TONIAN,850,1000,( 850 Ma - 1000 Ma ),TONIAN ( 850 Ma - 1000 Ma )
153,MESEOPROTEROZOIC,1000,1600,( 1000 Ma - 1600 Ma ),MESEOPROTEROZOIC ( 1000 Ma - 1600 Ma )
154,STENIAN,1000,1200,( 1000 Ma - 1200 Ma ),STENIAN ( 1000 Ma - 1200 Ma )
155,ECTASIAN,1200,1400,( 1200 Ma - 1400 Ma ),ECTASIAN ( 1200 Ma - 1400 Ma )
156,CALYMMIAN,1400,1600,( 1400 Ma - 1600 Ma ),CALYMMIAN ( 1400 Ma - 1600 Ma )
157,PALEOPROTEROZOIC,1600,2500,( 1600 Ma - 2500 Ma ),PALEOPROTEROZOIC ( 1600 Ma - 2500 Ma )
158,STATHERIAN,1600,1800,( 1600 Ma - 1800 Ma ),STATHERIAN ( 1600 Ma - 1800 Ma )
159,OROSIRIAN,1800,2050,( 1800 Ma - 2050 Ma ),OROSIRIAN ( 1800 Ma - 2050 Ma )
160,RHYACIAN,2050,2300,( 2050 Ma - 2300 Ma ),RHYACIAN ( 2050 Ma - 2300 Ma )
161,SIDERIAN,2300,2500,( 2300 Ma - 2500 Ma ),SIDERIAN ( 2300 Ma - 2500 Ma )
162,ARCHEAN,2500,3850,( 2500 Ma - 3850 Ma ),ARCHEAN ( 2500 Ma - 3850 Ma )
163,NEOARCHEAN,2500,2800,( 2500 Ma - 2800 Ma ),NEOARCHEAN ( 2500 Ma - 2800 Ma )
164,MESOARCHEAN,2800,3200,( 2800 Ma - 3200 Ma ),MESOARCHEAN ( 2800 Ma - 3200 Ma )
165,PALEOARCHEAN,3200,3600,( 3200 Ma - 3600 Ma ),PALEOARCHEAN ( 3200 Ma - 3600 Ma )
166,EOARCHEAN,3600,3850,( 3600 Ma - 3850 Ma ),EOARCHEAN ( 3600 Ma - 3850 Ma )
167,HADEAN,3850,999999,( > 3850 Ma ),HADEAN ( > 3850 Ma )
